date,y_true,y_pred
2015-07-17,-0.04128800887257162,0.0
2015-07-20,-0.042437986058381484,0.0
2015-07-21,-0.014650225272235149,0.0
2015-07-22,0.007024473922768813,0.0
2015-07-23,0.000846227939109592,0.0
2015-07-24,-0.0018720558910167635,0.0
2015-07-27,-0.008649236152001194,0.0
2015-07-28,-0.04024861007326622,0.0
2015-07-29,-0.06134236471245171,0.0
2015-07-30,-0.03851604545141861,0.0
2015-07-31,-0.034458339795513555,0.0
2015-08-03,0.01823670109658875,0.0
2015-08-04,0.023506455644791934,0.0
2015-08-05,0.049087788371301656,0.0
2015-08-06,0.01800539251961417,0.0
2015-08-07,0.03388162528449811,0.0
2015-08-10,0.004615610443994224,0.0
2015-08-11,-0.0010106070532533693,0.0
2015-08-12,-0.04700601230871258,0.0
